Year,Close,Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction
2018,288.50,0.02340,0.00070,-0.00610,0.00870,0.00329,12484871.00,-0.00921,0
2018,286.00,-0.00921,0.02340,0.00070,-0.00610,0.00870,10843970.00,0.01618,1
2018,287.75,0.01618,-0.00921,0.02340,0.00070,-0.00610,8690022.00,-0.00411,0
2018,287.55,-0.00411,0.01618,-0.00921,0.02340,0.00070,9584217.00,0.00969,1
2018,280.90,0.00969,-0.00411,0.01618,-0.00921,0.02340,21475541.00,-0.02087,0
2018,283.50,-0.02087,0.00969,-0.00411,0.01618,-0.00921,11342580.00,0.01297,1
2018,278.95,0.01297,-0.02087,0.00969,-0.00411,0.01618,6847149.00,0.00826,1
2018,280.10,0.00826,0.01297,-0.02087,0.00969,-0.00411,13501859.00,-0.00987,0
2018,277.40,-0.00987,0.00826,0.01297,-0.02087,0.00969,9452718.00,0.01005,1
2018,283.25,0.01005,-0.00987,0.00826,0.01297,-0.02087,11644681.00,0.01234,1
2018,279.60,0.01234,0.01005,-0.00987,0.00826,0.01297,7381232.00,-0.01090,0
2018,277.30,-0.01090,0.01234,0.01005,-0.00987,0.00826,9766345.00,0.00145,1
2018,280.05,0.00145,-0.01090,0.01234,0.01005,-0.00987,957139.00,0.00708,1
2018,277.25,0.00708,0.00145,-0.01090,0.01234,0.01005,15034793.00,-0.00744,0
2018,273.85,-0.00744,0.00708,0.00145,-0.01090,0.01234,7047500.00,-0.02834,0
2018,276.85,-0.02834,-0.00744,0.00708,0.00145,-0.01090,6700755.00,0.00229,1
2018,276.45,0.00229,-0.02834,-0.00744,0.00708,0.00145,6915975.00,0.00743,1
2018,274.50,0.00743,0.00229,-0.02834,-0.00744,0.00708,12153864.00,0.00445,1
2018,276.55,0.00445,0.00743,0.00229,-0.02834,-0.00744,12635521.00,-0.01819,0
2018,284.50,-0.01819,0.00445,0.00743,0.00229,-0.02834,16720100.00,0.00280,1
2018,283.85,0.00280,-0.01819,0.00445,0.00743,0.00229,7796633.00,0.00935,1
2018,281.75,0.00935,0.00280,-0.01819,0.00445,0.00743,5650063.00,-0.01878,0
2018,280.50,-0.01878,0.00935,0.00280,-0.01819,0.00445,6680354.00,0.00610,1
2018,285.65,0.00610,-0.01878,0.00935,0.00280,-0.01819,8948042.00,0.01002,1
2018,284.85,0.01002,0.00610,-0.01878,0.00935,0.00280,6881741.00,0.00390,1
2018,282.20,0.00390,0.01002,0.00610,-0.01878,0.00935,8856761.00,0.02333,1
2018,287.55,0.02333,0.00390,0.01002,0.00610,-0.01878,13657479.00,0.00839,1
2018,285.80,0.00839,0.02333,0.00390,0.01002,0.00610,8639876.00,-0.00366,0
2018,282.95,-0.00366,0.00839,0.02333,0.00390,0.01002,8565591.00,0.01322,1
2018,281.85,0.01322,-0.00366,0.00839,0.02333,0.00390,6305882.00,-0.01559,0
2018,275.35,-0.01559,0.01322,-0.00366,0.00839,0.02333,11453283.00,-0.00490,0
2018,273.05,-0.00490,-0.01559,0.01322,-0.00366,0.00839,9682118.00,0.00272,1
2018,274.05,0.00272,-0.00490,-0.01559,0.01322,-0.00366,8103784.00,-0.00163,0
2018,270.45,-0.00163,0.00272,-0.00490,-0.01559,0.01322,6683094.00,-0.01476,0
2018,274.70,-0.01476,-0.00163,0.00272,-0.00490,-0.01559,10238800.00,0.00609,1
2018,276.05,0.00609,-0.01476,-0.00163,0.00272,-0.00490,10084682.00,-0.01888,0
2018,275.30,-0.01888,0.00609,-0.01476,-0.00163,0.00272,15821425.00,0.00283,1
2018,275.75,0.00283,-0.01888,0.00609,-0.01476,-0.00163,8594764.00,0.02109,1
2018,279.85,0.02109,0.00283,-0.01888,0.00609,-0.01476,12232198.00,0.00271,1
2018,278.15,0.00271,0.02109,0.00283,-0.01888,0.00609,8832786.00,-0.00235,0
2018,283.45,-0.00235,0.00271,0.02109,0.00283,-0.01888,13133469.00,-0.01471,0
2018,282.65,-0.01471,-0.00235,0.00271,0.02109,0.00283,4964496.00,-0.00533,0
2018,276.75,-0.00533,-0.01471,-0.00235,0.00271,0.02109,6816618.00,0.00213,1
2018,276.00,0.00213,-0.00533,-0.01471,-0.00235,0.00271,8540575.00,-0.00372,0
2018,276.65,-0.00372,0.00213,-0.00533,-0.01471,-0.00235,8494118.00,0.00746,1
2018,280.75,0.00746,-0.00372,0.00213,-0.00533,-0.01471,11441104.00,0.00626,1
2018,282.25,0.00626,0.00746,-0.00372,0.00213,-0.00533,13194286.00,-0.00750,0
2018,281.65,-0.00750,0.00626,0.00746,-0.00372,0.00213,5452405.00,-0.00249,0
2019,282.70,-0.00249,-0.00750,0.00626,0.00746,-0.00372,2490548.00,-0.00919,0
2019,280.60,-0.00919,-0.00249,-0.00750,0.00626,0.00746,9934187.00,-0.02141,0
2019,278.85,-0.02141,-0.00919,-0.00249,-0.00750,0.00626,6114946.00,0.00276,1
2019,280.95,0.00276,-0.02141,-0.00919,-0.00249,-0.00750,7805148.00,-0.01966,0
